	Guage compr	TC Amp 2					TC Amp 3					
Min,Max,Step	
0149	85ED	E4D550	-21.2240	-0.424480	1.182520	n/a	9E89CB	-76.1420	-1.522840	0.084160	n/a	
0150	85ED	E4EBA4	-21.1559	-0.423117	1.183883	n/a	9E88D1	-76.1450	-1.522899	0.084101	n/a	
0151	85ED	E500D1	-21.0912	-0.421825	1.185175	n/a	9E8925	-76.1440	-1.522879	0.084121	n/a	
0152	85ED	E5153C	-21.0289	-0.420579	1.186421	n/a	9E88C6	-76.1451	-1.522902	0.084098	n/a	
0153	85ED	E52A2B	-20.9651	-0.419301	1.187699	n/a	9E8885	-76.1459	-1.522917	0.084083	n/a	
0154	85ED	E53E7C	-20.9031	-0.418061	1.188939	n/a	9E8836	-76.1468	-1.522936	0.084064	n/a	
0155	85ED	E55281	-20.8420	-0.416839	1.190161	n/a	9E889D	-76.1456	-1.522912	0.084088	n/a	
0156	85ED	E566A6	-20.7805	-0.415610	1.191390	n/a	9E887A	-76.1460	-1.522920	0.084080	n/a	
0157	85ED	E57A84	-20.7199	-0.414397	1.192603	n/a	9E88F0	-76.1446	-1.522892	0.084108	n/a	
0158	85ED	E58E0D	-20.6602	-0.413205	1.193795	n/a	9E888E	-76.1458	-1.522915	0.084085	n/a	
0159	85ED	E5A189	-20.6008	-0.412015	1.194985	n/a	9E8825	-76.1470	-1.522940	0.084060	n/a	
0160	85ED	E5B49A	-20.5426	-0.410852	1.196148	n/a	9E880F	-76.1473	-1.522946	0.084054	n/a	
0161	85ED	E5C7BE	-20.4842	-0.409684	1.197316	n/a	9E88DD	-76.1448	-1.522896	0.084104	n/a	
0162	85ED	E5DB4F	-20.4245	-0.408489	1.198511	n/a	9E8872	-76.1461	-1.522922	0.084078	n/a	
0163	85ED	E5ED92	-20.3687	-0.407375	1.199625	n/a	9E8879	-76.1460	-1.522920	0.084080	n/a	
0164	85ED	E5FFB6	-20.3134	-0.406267	1.200733	n/a	9E888B	-76.1458	-1.522916	0.084084	n/a	
0165	85ED	E61180	-20.2591	-0.405182	1.201818	n/a	9E8881	-76.1459	-1.522918	0.084082	n/a	
0166	85ED	E623A3	-20.2037	-0.404075	1.202925	n/a	9E8817	-76.1472	-1.522944	0.084056	n/a	
0167	85ED	E63567	-20.1495	-0.402990	1.204010	n/a	9E896E	-76.1431	-1.522862	0.084138	n/a	
0168	85ED	E64741	-20.0950	-0.401901	1.205099	n/a	9E89C0	-76.1421	-1.522842	0.084158	n/a	
0169	85ED	E6581A	-20.0436	-0.400873	1.206127	n/a	9E893A	-76.1437	-1.522874	0.084126	n/a	
0170	85ED	E66924	-19.9916	-0.399833	1.207167	n/a	9E88DF	-76.1448	-1.522896	0.084104	n/a	
0171	85ED	E67A64	-19.9390	-0.398780	1.208220	n/a	9E8974	-76.1430	-1.522860	0.084140	n/a	
0172	85ED	E68AFB	-19.8884	-0.397767	1.209233	n/a	9E89BE	-76.1421	-1.522843	0.084157	n/a	
0173	85ED	E69C29	-19.8359	-0.396719	1.210281	n/a	9E8A27	-76.1409	-1.522818	0.084182	n/a	
0174	85ED	E6AC6F	-19.7863	-0.395725	1.211275	n/a	9E89FA	-76.1414	-1.522829	0.084171	n/a	
0175	85ED	E6BC48	-19.7379	-0.394758	1.212242	n/a	9E89BC	-76.1422	-1.522843	0.084157	n/a	
0176	85ED	E6CC7A	-19.6885	-0.393770	1.213230	n/a	9E89D6	-76.1419	-1.522837	0.084163	n/a	
0177	85ED	E6DC74	-19.6397	-0.392794	1.214206	n/a	9E8966	-76.1432	-1.522864	0.084136	n/a	
0178	85ED	E6EBD2	-19.5928	-0.391856	1.215144	n/a	9E89C6	-76.1420	-1.522841	0.084159	n/a	
0179	85ED	E6FBE4	-19.5438	-0.390876	1.216124	n/a	9E8A45	-76.1405	-1.522811	0.084189	n/a	
0180	85ED	E70AC1	-19.4984	-0.389968	1.217032	n/a	9E89BA	-76.1422	-1.522844	0.084156	n/a	
0181	85ED	E719E8	-19.4522	-0.389044	1.217956	n/a	9E89D5	-76.1419	-1.522837	0.084163	n/a	
0182	85ED	E72960	-19.4050	-0.388099	1.218901	n/a	9E8985	-76.1428	-1.522856	0.084144	n/a	
0183	85ED	E737DD	-19.3608	-0.387215	1.219785	n/a	9E89C7	-76.1420	-1.522841	0.084159	n/a	
0184	85ED	E7467C	-19.3161	-0.386323	1.220677	n/a	9E8945	-76.1436	-1.522872	0.084128	n/a	
0185	85ED	E75547	-19.2710	-0.385420	1.221580	n/a	9E89AB	-76.1424	-1.522847	0.084153	n/a	
0186	85ED	E7640D	-19.2259	-0.384518	1.222482	n/a	9E8967	-76.1432	-1.522864	0.084136	n/a	
0187	85ED	E7727C	-19.1819	-0.383637	1.223363	n/a	9E8947	-76.1436	-1.522871	0.084129	n/a	
0188	85ED	E7803D	-19.1399	-0.382798	1.224202	n/a	9E89D7	-76.1418	-1.522837	0.084163	n/a	
0189	85ED	E78E6A	-19.0966	-0.381933	1.225067	n/a	9E88F7	-76.1445	-1.522890	0.084110	n/a	
0190	85ED	E79BCC	-19.0558	-0.381116	1.225884	n/a	9E8986	-76.1428	-1.522856	0.084144	n/a	
0191	85ED	E7A9DD	-19.0129	-0.380257	1.226743	n/a	9E8957	-76.1434	-1.522867	0.084133	n/a	
0192	85ED	E7B798	-18.9710	-0.379419	1.227581	n/a	9E899E	-76.1425	-1.522850	0.084150	n/a	
0193	85ED	E7C564	-18.9289	-0.378577	1.228423	n/a	9E8932	-76.1438	-1.522876	0.084124	n/a	
0194	85ED	E7D2C0	-18.8881	-0.377762	1.229238	n/a	9E8995	-76.1426	-1.522853	0.084147	n/a	
0195	85ED	E7E09B	-18.8458	-0.376916	1.230084	n/a	9E895D	-76.1433	-1.522866	0.084134	n/a	
0196	85ED	E7ED0E	-18.8078	-0.376156	1.230844	n/a	9E89CD	-76.1420	-1.522839	0.084161	n/a	
0197	85FD	CDDAD1	-39.1760	-0.783519	0.823481	n/a	A2EAA5	-72.7214	-1.454428	0.152572	n/a	
0198	85FD	B087BB	-62.0858	-1.241716	0.365284	n/a	A7795A	-69.1609	-1.383218	0.223782	n/a	
0199	85FD	AB2877	-66.2828	-1.325655	0.281345	n/a	A8F0B5	-68.0154	-1.360308	0.246692	n/a	
0200	85FD	AA8892	-66.7707	-1.335414	0.271586	n/a	A9B383	-67.4209	-1.348418	0.258582	n/a	
0201	85FD	AAD6F3	-66.5315	-1.330630	0.276370	n/a	AA4C17	-66.9553	-1.339106	0.267894	n/a	
0202	85FD	AB5608	-66.1437	-1.322874	0.284126	n/a	AAD976	-66.5239	-1.330477	0.276523	n/a	
0203	85FD	ABDD80	-65.7303	-1.314606	0.292394	n/a	AB641E	-66.1007	-1.322014	0.284986	n/a	
0204	85FD	AC65DA	-65.3142	-1.306283	0.300717	n/a	ABEADB	-65.6895	-1.313790	0.293210	n/a	
0205	85FD	ACEE4A	-64.8978	-1.297956	0.309044	n/a	AC729C	-65.2752	-1.305505	0.301495	n/a	
0206	85FD	AD75F7	-64.4837	-1.289675	0.317325	n/a	ACF8AD	-64.8661	-1.297322	0.309678	n/a	
0207	85FD	ADFCD1	-64.0722	-1.281444	0.325556	n/a	AD7D9D	-64.4604	-1.289208	0.317792	n/a	
